,text,date
66,RT @PawBoost: Please RT! Have you seen Smokey? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/N7HvSvavOh https://t.co/IEpseBAwpg,2017-06-20 05:07:08+00:00
67,Please RT! Have you seen Smokey? #missing #lost #pet in #Schenectady #NY 12307 https://t.co/N7HvSvavOh https://t.co/IEpseBAwpg,2017-06-20 03:32:58+00:00
68,Please RT! Have you seen Bruce? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/3S831pqp2D https://t.co/B6Z6iI7cl5,2017-06-18 15:21:27+00:00
69,Please RT! Have you seen Cupcake? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/4PR8hXLmw4 https://t.co/p46HpB9jyp,2017-06-16 00:56:23+00:00
70,Please RT! Have you seen Keysha? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/BQDowYo98T https://t.co/oa01wvFe71,2017-06-15 21:31:29+00:00
71,Please RT! Have you seen Max? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/am1j67RFQI https://t.co/JKRESWk06R,2017-06-11 17:32:10+00:00
72,Please RT! Have you seen Skiddles? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/aQ1utyc6n6 https://t.co/Y3QksbJ7GF,2017-06-07 17:41:22+00:00
73,Please RT! Have you seen Gandak? #missing #lost #pet in #Schenectady #NY 12309 https://t.co/MgYXE6k5eh https://t.co/d1NjqDTIdw,2017-06-01 02:51:20+00:00
74,Please RT! Have you seen Remmi? #missing #lost #pet in #Schenectady #NY 12303 https://t.co/XklN9Okmie https://t.co/iulkjLRF1y,2017-05-31 03:00:15+00:00
75,Please RT! Have you seen Nebula? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/f1CRcPh8pz https://t.co/vULSeqsqRh,2017-05-30 23:49:39+00:00
76,RT @PawBoost: Please RT! Have you seen Pumpkin? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/jHjLGvW0in https://t.co/wIkKikP4…,2017-05-25 15:56:12+00:00
77,Please RT! Have you seen Pumpkin? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/jHjLGvW0in https://t.co/wIkKikP4XW,2017-05-25 14:21:13+00:00
78,Please RT! Have you seen Louie? #missing #lost #pet in #Schenectady #NY 12308 https://t.co/4Rrz8tXwPa https://t.co/kuv9RtZnBU,2017-05-18 20:03:56+00:00
79,RT @PawBoost: Please RT! Have you seen Doby? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/vMIhvhaOUP https://t.co/P85y8ezt29,2017-05-18 19:51:07+00:00
80,RT @PawBoost: Please RT! Have you seen Kemp? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/yjpa2GEfo3 https://t.co/T7jaKMQegq,2017-05-18 16:09:28+00:00
81,RT @PawBoost: Please RT! Have you seen Kemp? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/yjpa2GEfo3 https://t.co/T7jaKMQegq,2017-05-18 16:07:29+00:00
82,Please RT! Have you seen Kemp? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/yjpa2GEfo3 https://t.co/T7jaKMQegq,2017-05-18 16:03:25+00:00
83,RT @PawBoost: Please RT! Have you seen Doby? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/vMIhvhaOUP https://t.co/P85y8ezt29,2017-05-18 01:42:23+00:00
84,Please RT! Have you seen Doby? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/vMIhvhaOUP https://t.co/P85y8ezt29,2017-05-18 01:14:04+00:00
85,Please RT! Have you seen Walley? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/8eHZrVnzDQ https://t.co/LLTjxjRd5y,2017-05-18 01:06:44+00:00
86,Please RT! Have you seen Puddles? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/sJZn2VL5Rq https://t.co/KdXiHslzte,2017-05-16 05:38:42+00:00
87,Please RT! Have you seen Ernie? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/6H67c0CbWG https://t.co/3aVXdsdBU9,2017-05-16 05:27:45+00:00
88,Please RT! Have you seen Malachi Or Mal? #missing #lost #pet in #Schenectady #NY 12306 https://t.co/EvuH4ZNUh5 https://t.co/rIEcVI2pGF,2017-05-04 13:23:45+00:00
89,Please RT! Have you seen Smokey? #missing #lost #pet in #Schenectady #NY 12304 https://t.co/AHfDBrXbEn https://t.co/8FZSuph8YX,2017-04-26 12:29:36+00:00
